iter	Passed	Remaining
0	0	84
1	1	77
2	2	80
3	3	75
4	4	78
5	4	77
6	5	75
7	6	75
8	7	76
9	8	78
10	9	76
11	10	74
12	11	74
13	12	74
14	13	73
15	13	72
16	14	72
17	15	71
18	16	70
19	17	69
20	18	67
21	18	66
22	19	65
23	20	63
24	20	62
25	21	61
26	22	59
27	22	59
28	23	58
29	24	57
30	25	55
31	25	55
32	26	54
33	27	53
34	28	52
35	29	51
36	30	51
37	31	50
38	31	50
39	32	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	41	38
52	42	38
53	43	37
54	45	36
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	68	17
80	69	16
81	72	15
82	73	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	88	2
97	89	1
98	90	0
99	91	0
