iter	Passed	Remaining
0	168	167913
1	170	84936
2	171	57092
3	175	43679
4	177	35294
5	178	29626
6	182	25938
7	184	22858
8	185	20472
9	187	18600
10	189	17023
11	190	15724
12	192	14647
13	194	13714
14	196	12923
15	199	12274
16	204	11835
17	207	11319
18	209	10804
19	217	10666
20	219	10224
21	222	9871
22	223	9503
23	227	9239
24	228	8929
25	230	8640
26	232	8372
27	234	8141
28	236	7924
29	238	7707
30	239	7497
31	241	7312
32	243	7125
33	244	6959
34	246	6795
35	249	6682
36	252	6558
37	253	6422
38	255	6302
39	257	6183
40	259	6075
41	261	5962
42	264	5879
43	265	5777
44	267	5671
45	269	5582
46	270	5492
47	273	5417
48	276	5356
49	277	5281
50	279	5200
51	281	5123
52	282	5047
53	285	5009
54	288	4957
55	290	4893
56	292	4836
57	294	4786
58	296	4736
59	298	4679
60	300	4621
61	302	4574
62	306	4555
63	308	4507
64	311	4475
65	312	4428
66	314	4380
67	316	4338
68	319	4304
69	322	4288
70	324	4248
71	326	4207
72	328	4165
73	329	4124
74	330	4082
75	332	4047
76	335	4020
77	338	3996
78	339	3959
79	341	3922
80	343	3894
81	344	3861
82	345	3820
83	347	3793
84	350	3770
85	352	3745
86	353	3713
87	355	3681
88	356	3651
89	358	3622
90	359	3592
91	361	3564
92	362	3537
93	365	3519
94	367	3500
95	369	3476
96	370	3451
97	372	3428
98	374	3411
99	376	3387
100	378	3365
101	379	3341
102	381	3324
103	383	3306
104	385	3286
105	387	3270
106	389	3252
107	391	3235
108	393	3217
109	396	3208
110	398	3192
111	400	3177
112	402	3158
113	404	3142
114	406	3124
115	408	3111
116	409	3093
117	413	3089
118	415	3073
119	416	3057
120	419	3044
121	420	3026
122	422	3012
123	424	2996
124	426	2987
125	428	2973
126	430	2960
127	432	2946
128	434	2930
129	435	2916
130	437	2904
131	439	2889
132	441	2877
133	443	2869
134	446	2859
135	447	2843
136	449	2829
137	450	2816
138	452	2803
139	454	2790
140	455	2776
141	456	2759
142	458	2750
143	461	2742
144	463	2731
145	464	2719
146	467	2711
147	470	2711
148	473	2704
149	475	2692
150	476	2679
151	478	2667
152	480	2659
153	482	2648
154	484	2639
155	486	2631
156	488	2624
157	490	2613
158	493	2609
159	495	2600
160	496	2587
161	497	2575
162	500	2568
163	503	2565
164	505	2557
165	507	2549
166	509	2539
167	510	2529
168	512	2519
169	513	2509
170	515	2500
171	518	2495
172	520	2486
173	522	2479
174	524	2471
175	526	2464
176	529	2463
177	532	2460
178	535	2455
179	537	2446
180	538	2437
181	540	2427
182	541	2418
183	544	2412
184	545	2405
185	549	2402
186	550	2394
187	552	2388
188	554	2380
189	556	2371
190	557	2362
191	559	2353
192	561	2347
193	563	2342
194	567	2341
195	571	2345
196	574	2343
197	580	2349
198	581	2342
199	583	2335
200	585	2329
201	587	2321
202	589	2315
203	591	2309
204	593	2300
205	595	2296
206	597	2289
207	599	2282
208	601	2275
209	603	2269
210	605	2262
211	607	2256
212	609	2250
213	611	2244
214	613	2240
215	615	2234
216	617	2228
217	619	2220
218	620	2213
219	623	2210
220	626	2207
221	628	2202
222	630	2195
223	631	2188
224	633	2182
225	635	2176
226	637	2169
227	639	2166
228	642	2163
229	644	2158
230	647	2154
231	649	2148
232	651	2144
233	654	2141
234	656	2135
235	658	2130
236	659	2123
237	661	2116
238	662	2109
239	664	2103
240	665	2096
241	667	2092
242	671	2091
243	673	2085
244	674	2079
245	676	2072
246	677	2066
247	679	2059
248	680	2053
249	682	2048
250	685	2045
251	687	2040
252	689	2035
253	690	2029
254	693	2024
255	694	2019
256	697	2015
257	699	2011
258	701	2007
259	703	2002
260	705	1997
261	707	1992
262	709	1987
263	711	1982
264	713	1979
265	715	1974
266	717	1969
267	719	1964
268	720	1958
269	722	1953
270	724	1949
271	726	1943
272	728	1938
273	730	1936
274	733	1933
275	735	1928
276	737	1924
277	739	1920
278	741	1916
279	743	1911
280	745	1907
281	747	1902
282	749	1898
283	750	1892
284	752	1888
285	754	1883
286	756	1880
287	758	1876
288	760	1871
289	762	1865
290	763	1861
291	765	1856
292	767	1851
293	769	1846
294	770	1842
295	772	1838
296	774	1834
297	777	1832
298	779	1827
299	781	1822
300	783	1819
301	785	1814
302	786	1809
303	788	1805
304	791	1802
305	792	1798
306	794	1793
307	796	1788
308	797	1784
309	800	1781
310	801	1776
311	803	1772
312	805	1768
313	807	1764
314	809	1760
315	811	1757
316	813	1753
317	815	1749
318	819	1748
319	821	1746
320	823	1742
321	825	1737
322	827	1733
323	829	1729
324	831	1726
325	833	1722
326	836	1720
327	837	1716
328	839	1711
329	840	1707
330	842	1702
331	844	1698
332	845	1693
333	847	1689
334	849	1685
335	851	1682
336	852	1677
337	854	1673
338	855	1669
339	858	1665
340	861	1665
341	864	1662
342	866	1660
343	868	1656
344	870	1652
345	872	1648
346	873	1644
347	875	1640
348	877	1637
349	881	1636
350	882	1632
351	884	1628
352	885	1623
353	887	1619
354	889	1615
355	891	1612
356	892	1608
357	895	1605
358	898	1603
359	899	1599
360	901	1596
361	903	1592
362	905	1589
363	908	1587
364	911	1586
365	913	1583
366	915	1579
367	917	1576
368	919	1572
369	921	1568
370	923	1566
371	925	1562
372	928	1560
373	929	1556
374	931	1553
375	934	1550
376	936	1546
377	938	1544
378	942	1543
379	943	1539
380	945	1535
381	946	1531
382	948	1528
383	950	1525
384	952	1521
385	956	1520
386	958	1517
387	960	1514
388	962	1511
389	964	1508
390	967	1506
391	969	1503
392	973	1503
393	974	1499
394	976	1496
395	978	1492
396	980	1489
397	982	1486
398	984	1482
399	989	1483
400	991	1481
401	993	1477
402	997	1477
403	999	1474
404	1002	1472
405	1004	1469
406	1007	1468
407	1009	1465
408	1011	1461
409	1013	1458
410	1015	1455
411	1017	1452
412	1019	1449
413	1021	1446
414	1024	1443
415	1025	1440
416	1027	1436
417	1029	1433
418	1034	1435
419	1036	1431
420	1039	1429
421	1041	1426
422	1043	1422
423	1045	1420
424	1048	1418
425	1050	1415
426	1052	1412
427	1054	1408
428	1056	1405
429	1058	1402
430	1059	1399
431	1063	1398
432	1065	1395
433	1067	1392
434	1069	1389
435	1071	1385
436	1073	1383
437	1075	1380
438	1078	1377
439	1080	1374
440	1081	1371
441	1083	1368
442	1085	1364
443	1086	1361
444	1089	1358
445	1091	1355
446	1094	1354
447	1096	1351
448	1098	1348
449	1100	1345
450	1102	1342
451	1104	1339
452	1106	1335
453	1108	1332
454	1110	1329
455	1111	1326
456	1113	1322
457	1114	1318
458	1116	1316
459	1118	1312
460	1120	1309
461	1122	1306
462	1125	1305
463	1127	1302
464	1129	1299
465	1131	1296
466	1133	1293
467	1134	1289
468	1136	1286
469	1138	1283
470	1139	1279
471	1141	1277
472	1143	1274
473	1145	1270
474	1146	1267
475	1148	1264
476	1150	1261
477	1152	1258
478	1156	1257
479	1158	1254
480	1159	1251
481	1161	1248
482	1163	1245
483	1165	1242
484	1169	1241
485	1173	1241
486	1175	1237
487	1177	1234
488	1178	1231
489	1180	1228
490	1182	1225
491	1185	1224
492	1187	1221
493	1189	1218
494	1190	1214
495	1193	1212
496	1195	1209
497	1197	1206
498	1199	1204
499	1200	1200
500	1202	1197
501	1204	1194
502	1206	1192
503	1208	1189
504	1209	1185
505	1211	1182
506	1212	1179
507	1215	1177
508	1217	1174
509	1219	1171
510	1221	1168
511	1223	1166
512	1225	1163
513	1227	1160
514	1229	1157
515	1231	1155
516	1233	1152
517	1234	1148
518	1236	1145
519	1238	1143
520	1240	1140
521	1242	1138
522	1246	1137
523	1248	1134
524	1250	1131
525	1252	1129
526	1255	1126
527	1256	1123
528	1258	1120
529	1262	1119
530	1264	1116
531	1266	1114
532	1268	1111
533	1270	1108
534	1272	1105
535	1274	1103
536	1276	1100
537	1278	1097
538	1280	1094
539	1282	1092
540	1283	1089
541	1285	1086
542	1287	1083
543	1289	1080
544	1291	1078
545	1293	1075
546	1295	1073
547	1297	1070
548	1299	1067
549	1301	1064
550	1303	1062
551	1307	1061
552	1308	1058
553	1310	1055
554	1312	1052
555	1314	1049
556	1315	1046
557	1317	1043
558	1319	1041
559	1322	1039
560	1324	1036
561	1326	1034
562	1328	1030
563	1330	1028
564	1333	1026
565	1335	1023
566	1337	1021
567	1338	1018
568	1340	1015
569	1341	1012
570	1343	1009
571	1345	1006
572	1347	1004
573	1349	1001
574	1353	1000
575	1355	997
576	1357	995
577	1359	992
578	1361	989
579	1362	986
580	1364	984
581	1367	981
582	1368	979
583	1370	976
584	1372	973
585	1374	970
586	1375	967
587	1377	965
588	1379	962
589	1380	959
590	1384	957
591	1385	955
592	1388	952
593	1390	950
594	1392	947
595	1393	944
596	1395	941
597	1399	941
598	1401	938
599	1403	935
600	1405	932
601	1406	930
602	1408	927
603	1410	924
604	1413	922
605	1416	920
606	1418	918
607	1420	915
608	1422	913
609	1424	910
610	1426	908
611	1429	906
612	1430	903
613	1432	900
614	1434	897
615	1436	895
616	1438	892
617	1440	890
618	1441	887
619	1445	885
620	1446	883
621	1448	880
622	1449	877
623	1451	874
624	1453	871
625	1457	870
626	1460	868
627	1462	866
628	1464	863
629	1466	861
630	1468	858
631	1470	856
632	1472	853
633	1475	851
634	1477	849
635	1478	846
636	1480	843
637	1482	840
638	1483	838
639	1485	835
640	1487	833
641	1490	831
642	1492	828
643	1494	825
644	1496	823
645	1498	820
646	1499	818
647	1501	815
648	1505	813
649	1506	811
650	1508	808
